grading                                                                                                                                                                                                                                                                                             operator,string_or_regex_pattern,cleaned_sentence,query
1265       1                                                                                                                                                                                                                                                                                                  for,for,"An orbital ring has a high capacity to hold people, because it has more space than a space elevator (which might be able to handle less than 20 loads at best before items start running into each other\).",we should build an international space elevator
1266       1                                                                                                                                                                                                                                                                                             at least,at least,"Only after a private company sells more than $50,000 in products or services to the federal government and employs at least 50 workers is it required to develop a written affirmative action plan, or AAP.",affirmative action useful once outdated today
1267       1                                                                                                                                                                                                                                                                                             at least,at least,"Political correctness has been around since at least as early as 1934, when the New York Times reported that Nazi Germany was granting reporting permits ""only to pure ‘Aryans’ whose opinions are politically correct.""""",there should be no limit to freedom of speech
1268       1                                                                                                                                                                                                                                                                                             at least,at least,"Not only is the British negotiating team not sufficiently qualified, they are also understaffed: Whitehall's Trade Policy Group employ's 300 people, but the UK Trade Policy Observatory, an independent think-tank, says they need at least 700 people.",should the uk remain in the eu if the only alternative is a hard brexit
1269       1                                                                                                                                                                                                                                                                                             at least,at least,"Rafale has partnered with at least 72 companies in India, one of which is Reliance. There is no proof that the government helped Reliance obtain the contract, it is only speculation. The opposition is misleading the public on this issue.",is narendra modi good for india
1270       1                                                                                                                                                                                                                                                                                             at least,at least,There are at least a dozen potential designs that look promising. Only one of them has to work.,do we need nuclear power for sustainable energy production
1271       1                                                                                                                                                                                                                                                                                             at least,at least,"Former President and Vice President Obama and Biden revealed their proposed reforms in 2013 intended to reduce firearms related violence. The proposal contained a mix of executive actions, regulations, and calls for Congress to act legislatively. The total package cost at least $4.5 billion in new spending.",should the us adopt stricter gun controls
1272       1                                                                                                                                                                                                                                                                                             at least,at least,"In 2015 alone, data breaches exposed at least 423 million identities",should the citizens right to benefit from technology for privacy and secrecy overrule the role  of government
1273       1                                                                                                                                                                                                                                                                                             at least,at least,"According to NASA, the atmospheric carbon-dioxide levels haven't risen above 300ppm (parts per million\) for at least 400,000 years, and have consistently stayed between about 180ppm and 300ppm for the same time, up until 1950 when the carbon-dioxide levels reached above 300ppm. The carbon-dioxide levels have continued to rise after that historic 1950 mark, up to 400ppm, showing that we are going even farther out of the balance of the usual of the Earth's carbon-dioxide levels.",humans should act to fight climate change
1274       1                                                                                                                                                                                                                                                                                             at least,at least,"Using the example of the UK, Brexit will mean a renegotiation of at least 759 treaties. Hungary will likely have to negotiate a similar amount with much less leverage.",is it time for hungary and the eu to part ways
1275       1                                                                                                                                                                                                                                                                                             at least,at least,"In 2013, there were at least 47 injuries in 661 bullfights. This amounts to an injury in 7% of the fights.",should bullfighting be banned
1276       1                                                                                                                                                                                                                                                                                             at least,at least,"Europol has warned that some refugees could be vulnerable to Isis propaganda. According to German authorities, jihadis have made at least 300 attempts to recruit refugees attempting to enter Europe.",should refugees seeking asylum in europe be distributed among eu member states according to a quota
1277       1                                                                                                                                                                                                                                                                                             at least,at least,"The pink for girls/ blue for boys script in the Western world, for instance, is fairly new: at least until 1918 pink was considered a more ""decisive"" color, i.e. better suited for boys. In the 1940s customer preferences had started to change and retailers marketed more pink clothing for girls; it took until the heightened consumerism of the 1980s and a subsequent hype in individual merchandise for the color to be firmly established as ""girly"".",should women only spaces be open to anyone identifying as female
1278       1                                                                                                                                                                                                                                                                                             at least,at least,New York City officially recognizes at least 31 gender identities.,is gender a social construct
1279       1                                                                                                                                                                                                                                                                                             at least,at least,"Since unbreakable encryption has been available to everyone for at least 137 years, Facebook is merely making an old tool convenient on their communications network.",should the citizens right to benefit from technology for privacy and secrecy overrule the role  of government
1280       1                                                                                                                                                                                                                                                                                             at least,at least,"The Book of Mormon is evidence that ""the Christian Era"" began at least as early as the 500s BCE.",is the book of mormon an authentic ancient scripture
1281       1                                                                                                                                                                                                                                                                                             at least,at least,"Creating jobs is nice and even if we 'should' try, it is likely that will be impossible in the future, at least that 100% employment is impossible.",should there be a universal basic income ubi
1282       1                                                                                                                                                                                                                                                                                             at least,at least,"According to Google, the number of books ever published was at least 130 million in 2010. Assuming a person could read one a day everyday, it would take them over 350 thousand years to read them all.",if scientifically possible should humans become immortal
1283       1                                                                                                                                                                                                                                                                                             at least,at least,"There is no contemporary or direct testimony on Jesus.  While there are records from Rome during the time he lived, there are zero contemporary references.  The gospels appear to have been written at least 70-300 years after the fact.Who would have noticed in Jesus' time?",the existence of god
1284       1                                                                                                                                                                                                                                                                                            is higher,is higher,"It's likely that the probability isn't 0.6%/year for a lifetime (since 1 year olds rarely have force threatened/used against them\), so NFL players are likely at the age where their probability is higher than 0.6%/year. Without some understanding of how that probability changes over a lifetime, we can't calculate anything specific, but only realize that an NFL player probably experiences a value of much higher than 0.6% for his friends.",nfl player protests should nfl players stand or kneel for the national anthem
1285       1                                                                                                                                                                                                                                                                                            is higher,is higher,"As a populist party, the Party for Freedom has switched views often and advocated for the queen to be only a symbolic figure (after the Queen criticised the party). Among supporters, republicanism is higher (29%)  than among the rest of the population (15%\).",should european monarchies be abolished
1286       1                                                                                                                                                                                                                                                                                            is higher,is higher,Income inequality in India today is higher than any time since 1922.,is narendra modi good for india
1287       1                                                                                                                                                                                                                                                                                            is higher,is higher,This is higher than the Fortune 500 average of Female Senior managers (20.5%\).,should the uk remain in the eu if the only alternative is a hard brexit
1288       1                                                                                                                                                                                                                                                                                            is higher,is higher,Corporation Income Tax in Luxembourg (22.05%) is higher than in The Netherlands' (20%\).,should european monarchies be abolished
1289       1                                                                                                                                                                                                                                                                                          compared to,compared to,"A study in Conneticut showed that 92% of released inmates who had been in solitary confinement were rearrested within 3 years, compared to 66% of regular inmates.",should long term solitary confinement be stopped
1290       1                                                                                                                                                                                                                                                                                          compared to,compared to,Only 31.4% of single fathers get child support compared to 52.3% of single mothers. This shows the discrimination a father faces even when he does take full responsibility for his child.,pro life vs pro choice should abortion be legal
1291       1                                                                                                                                                                                                                                                                                          compared to,compared to,"This report finds that among full time, year round workers, men work 8.2 hours a day compared to women's 7.8. This would mean women work 4.5% fewer hours than men.",should governments make an effort to reduce the gender pay gap
1292       1                                                                                                                                                                                                                                                                                          compared to,compared to,"""A 2015 Pew Research Center poll reported that 40 percent of millennials think the government should be able to suppress speech deemed offensive to minority groups, as compared to only 12 percent of those born between 1928 and 1945."" The concept of freedom of all speech is viewed as less important to the younger generation.",the aclu and charlottesville should the aclu defend white supremacists
1293       1                                                                                                                                                                                                                                                                                          compared to,compared to,"Since the second quarter of 2010, after the Dodd-Frank Act became law, small community banks have lost double the amount of US commercial banking assets compared to what they lost between 2006 and 2010.",was barack obama a good president
1294       1                                                                                                                                                                                                                                                                                          compared to,compared to,"This is somewhat misleading. Defining upper class as annual incomes of over $100.000, as is often done, 12.4% of Black Americans qualified (compared to 28% of white Americans) as of 2014 (DeNavas-Walt/Proctor, p. 25, 27\).",should the us pay reparations for slavery
1295       1                                                                                                                                                                                                                                                                                          compared to,compared to,"The Gulabi Gang are an ineffective deterrent, with crimes against women in Uttar Pradesh going up to as much as 24% in 2018 compared to 2017.",is the gulabi gang a force for good in india
1296       1                                                                                                                                                                                                                                                                                          compared to,compared to,"The Foreign Legion's basic training is 4 months long, as compared to only 12 weeks for the Marines.",the us should create a foreign legion
1297       1                                                                                                                                                                                                                                                                                          compared to,compared to,"A church that raises $1,000,000 and spends it all feeding the hungry is neither rich nor poor compared to a church that raises $500 and spends it on communion wine. ""Poverty"" is a meaningless concept when applied to churches.",should churches pay tax
1298       1                                                                                                                                                                                                                                                                                          compared to,compared to,"In a 2015 NIH study, hydroponics offered 11 ± 1.7 times higher yields compared to conventionally produced lettuce.",governments should impose methods of population control
1299       1                                                                                                                                                                                                                                                                                          compared to,compared to,"Liberal Democrats have outspent the Labour party since October 2018, ploughing £394,943 into targeted adverts, as compared to Labour, which has spent £280,201.",who will win the uk general election
1300       1                                                                                                                                                                                                                                                                                          compared to,compared to,"The Electoral College creates ""swing states,"" which are far more imbalanced than the the 50% of the country living in certain counties. Without the EC, candidates still have to appeal to 50% of voters overall, compared to just 50% of swing state voters.",should the electoral college be abolished
1301       1                                                                                                                                                                                                                                                                                          compared to,compared to,"In the Netherlands, the Party for Freedom with its agenda against Islamic influences did not do better in the 2017 general election than in previous years. It won 13% of the vote, compared to 10% in 2012 and 15% in 2010.",should high income countries take in refugees
1302       1                                                                                                                                                                                                                                                                                          compared to,compared to,"Homeschooled students grasp the workings of politics and government better than the traditionally schooled. 35% of U.S. adults consider politics and government too complicated to understand, compared to 4.2% of homeschool graduates.",should homeschooling be banned
1303       1                                                                                                                                                                                                                                                                                          compared to,compared to,Storing more energy doesn't nett you much more benefit as the conversion of that energy is only 35% efficient compared to electricity which converts at around 80% efficiency.,electric vehicles are better than fossil fuel vehicles
1304       1                                                                                                                                                                                                                                                                                          compared to,compared to,"In a 2014 survey of 3,700 adult homeschool alumni, 60% of respondents who were raised in (self-reported\) fundamentalist homes were victims of abuse as compared to 17% of respondents from non-fundamentalist families.",should homeschooling be banned
1305       1                                                                                                                                                                                                                                                                                          compared to,compared to,"Transparency International, based on analysis of contracts since 2007, estimated in 2015 that Hungarian public contracts were overpriced, on average, by 25% compared to market prices.",is it time for hungary and the eu to part ways
1306       1                                                                                                                                                                                                                                                                                          compared to,compared to,"Research shows that, of Americans that married from 2010 onwards, 39% had spouses of a different faith, compared to only 19% of those who wed before 1960",should people marry outside their religious faith
1307       1                                                                                                                                                                                                                                                                                       is higher than,is higher than,"It's likely that the probability isn't 0.6%/year for a lifetime (since 1 year olds rarely have force threatened/used against them\), so NFL players are likely at the age where their probability is higher than 0.6%/year. Without some understanding of how that probability changes over a lifetime, we can't calculate anything specific, but only realize that an NFL player probably experiences a value of much higher than 0.6% for his friends.",nfl player protests should nfl players stand or kneel for the national anthem
1308       1                                                                                                                                                                                                                                                                                       is higher than,is higher than,"Since human life is worthier than worthless, its worth is higher than ""0"" on any possible scale. Any number higher than 0 gets even higher when multiplied by 5.",the trolley problem whats the right solution
1309       1                                                                                                                                                                                                                                                                                       is higher than,is higher than,Corporation Income Tax in Luxembourg (22.05%) is higher than in The Netherlands' (20%\).,should european monarchies be abolished
1310       1                                                                                                                                                                                                                                                                                       is higher than,is higher than,This is higher than the Fortune 500 average of Female Senior managers (20.5%\).,should the uk remain in the eu if the only alternative is a hard brexit
1311       1                                                                                                                                                                                                                                                                                       is better than,is better than,"You should pull the lever. Each person should be inclined to effect the world more positively after having their lives spared, and 5 people making a positive change is better than 1. It is also more likely that the single survivor would have survivor's guilt knowing 5 people died for him.",the trolley problem whats the right solution
1312       1                                                                                                                                                                                                                                                                                       is better than,is better than,"The death of one person is better than the death of 160,000.",parents who dont vaccinate their children should be fined if the child gets a vaccine preventable illness
1313       1                                                                                                                                                                                                                                                                                             had been,had been,"A study in Conneticut showed that 92% of released inmates who had been in solitary confinement were rearrested within 3 years, compared to 66% of regular inmates.",should long term solitary confinement be stopped
1314       1                                                                                                                                                                                                                                                                                             had been,had been,"More than 1 million Britons, who had been living in Europe for over 15 years, were denied a vote in the referendum.",should the uk remain in the eu if the only alternative is a hard brexit
1315       1                                                                                                                                                                                                                                                                                             had been,had been,"Additional requirements for convicted pedophiles take into consideration the high risk of recidivism. In comparison, in a study conducted by Mullane following 988 convicted murders across 20 years, zero former murderers released from prison had been jailed or charged with another murder.",how should society deal with convicted pedophiles
1316       1                                                                                                                                                                                                                                                                                             had been,had been,"John Jay researchers reported that about 4 % of the 110,000 priests studied had been accused of sexual misconduct involving children. There is no consensus about the sexual abuse among the general American male population, but estimates are 1 in 10 men or close to 5% and thus the rate of abuse by Catholic priests is not higher than the national estimates.",has religion been a good thing for humanity
1317       1                                                                                                                                                                                                                                                                                             had been,had been,"A study of 80 radio-collared white-tailed deer found that of the 22 deer who had been shot with “traditional archery equipment,” 11 were wounded but not recovered by hunters.",should trophy hunting be illegal
1318       1                                                                                                                                                                                                                                                                                             had been,had been,"John Jay researchers reported that about 4 % of the 110,000 priests studied had been accused of sexual misconduct involving children. There is no consensus about the sexual abuse among the general American male population, but estimates are 1 in 10 men or close to 5% and thus the rate of abuse by Catholic priests is not higher than the national estimates.",should all religions be banned on a global scale
1319       1                                                                                                                                                                                                                                                                                             had been,had been,"In 2015, many US news outlets kept declaring that there had been upwards of “355 mass shootings this year” or “more than one mass shooting per day.” In reality, there were four mass shootings that year.",should the us adopt stricter gun controls
1320       1                                                                                                                                                                                                                                                                                               places,places,"On Easter Sunday, 2019, in a series of coordinated terrorist suicide bombings, three churches along with other places were targeted in Sri Lanka, with more than 250 killed and more than 500 injured.",should governments fund security for places of worship
1321       1                                                                                                                                                                                                                                                                                                ranks,ranks,"The independence of Argentina's judiciary continues to be dubious. It currently ranks 100th out of 137 countries in judicial independence (WEF, 2017\).",should judges be elected or appointed
1322       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Most countries with stricter gun laws are less free than America. According to the Freedom in the World Index by Freedom House, the United States currently ranks 55th out of 210 countries.",the second amendment to the us constitution should be repealed
1323       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Compared with 113 other countries, the U.S. ranks 54th for tax levels for higher income groups. While it might not have the highest rate, other developed countries, such as the Czech Republic, Switzerland or Korea, have even lower rates.",should the us pay reparations for slavery
1324       1                                                                                                                                                                                                                                                                                                ranks,ranks,"In terms of the funding it provides to members of Congress, the Pro-Israel lobby ranks among the top 25, far above any other country-specific lobby group in the US.",should the us recognize palestine as a state
1325       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Turkey ranks 125 out of 140 countries in the Global Gender Gap Index 2014, published by the World Economic Forum.",should turkey be part of the european union
1326       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Based on mass shooting rates per capita, the United States ranks just 66th in the world.",should the us adopt stricter gun controls
1327       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Texas, for example ranks 26th in teachers, with one-third having to work second jobs over the weekend to provide for themselves and their families.",are k 12 teachers already paid enough in america
1328       1                                                                                                                                                                                                                                                                                                ranks,ranks,"China ranks as 49th on the list of CO2 emissions per capita while in contrast, the US ranks 16th.",a socialist economy would work better than capitalist economy
1329       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Turkey ranks 125 out of 140 countries in the Global Gender Gap Index 2014, published by the World Economic Forum.",should turkey be part of the european union
1330       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Perfect Dark - a first-person shooter with a female protagonist - sold over 2 million copies on the N64, and ranks as the 19th best-selling N64 game of all time.",should video game storytelling portray gender equality
1331       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Among its seven South Asian neighbors, India ranks fifth overall in women’s political representation in parliament falling behind Afghanistan, Bangladesh, Pakistan and Nepal.",is the gulabi gang a force for good in india
1332       1                                                                                                                                                                                                                                                                                                ranks,ranks,"Economy size is only one metric of how much other countries want to trade with you. The other important metric is ease of doing business.  The UK together with the US are the only G7 countries that make the top 10 list, indicating how desirable the UK economy is and how much other countries will want to do business with us. Germany only ranks 20th, France 31st and Italy 46th. The UK is both very big and a very easy place to do business.",should the uk remain in the eu if the only alternative is a hard brexit
1333       1                                                                                                                                                                                                                                                                                                ranks,ranks,The US does not rank in the top 10 for education. It even ranks 35th among the industrialized countries for math.,is the usa a good country to live in
1334       1                                                                                                                                                                                                                                                                                                ranks,ranks,"India's rank is only seeming to slip because the global hunger index is adding countries to its report. In 2014, India was ranked 55th out of 74 countries. In 2015, India was 80th position in a list of 104 countries. In 2018, there were 129 countries in the survey, with 25 new countries having been added. India ranks 103rd in this 2018 report.",is narendra modi good for india
1335       1                                                                                                                                                                                                                                                                                                ranks,ranks,"America is leading in pure number of publications produced, but the quality of these publications falls behind other countries which have greater numbers of citations per paper. In this regard, America ranks 15th for the years 1996-2017. In 2016, it was ranked 101st and in 2017 it was ranked 78th.",is the usa an exceptional country
1336       1                                                                                                                                                                                                                                                                                                ranks,ranks,Working on a fishing boat is a very hard and dangerous job and ranks second most deadliest in the US.,the ethics of eating animals is eating meat wrong
1337       1                                                                                                                                                                                                                                                                                                ranks,ranks,The United States ranks 17th in global education rankings and most other developed countries are ahead of the US.,is the usa a good country to live in
1338       1                                                                                                                                                                                                                                                                                             produced,produced,"This makes the claim that the state is entitled to 100% of everything produced by all citizens on state land. If the state owns all land and has a rightful claim to the produce created by the labor of citizens, then it should not be limited to 1/10th of produced wealth. This implies that the fruits of our labor are not our own, and belong to someone else. A laborer who is not entitled to all benefits of their work, insofar as they retain the ability to voluntarily trade their fruits, is a slave.",is taxation theft
1339       1                                                                                                                                                                                                                                                                                          is the best,is the best,In Europe the Renault Zoe is the best sold pure EV and one of the trims has more then 200 miles range.,electric vehicles are better than fossil fuel vehicles
1340       1                                                                                                                                                                                                                                                                                                 1 of,1 of,Turkey is not ready to join the EU. It has completed only 1 of 35 chapters on harmonisation.,should turkey be part of the european union
1341       1                                                                                                                                                                                                                                                                                                 1 of,1 of,"Researchers in Kenya surveyed the sexual function, pleasure, and satisfaction of 2,784 uncircumcised sexually active adult men. Then they circumcised 1,391 of them, and re-surveyed the entire group every six months for two years. In every survey, the two groups showed no statistically significant differences in sexual function, pleasure, or satisfaction.",should infant circumcision be banned
1342       1                                                                                                                                                                                                                                                                                                 1 of,1 of,"In Germany, only about 8.000 people from countries where refugees commonly originate from (Syria, Iraq, Afghanistan\) were naturalized in 2016. This is a mere 7% of that year's naturalizations and makes up 0.1 of the German electorate.",should high income countries take in refugees
1343       1                                                                                                                                                                                                                                                                                                 1 of,1 of,"In Sweden, 31 of the 50 biggest owners of arable land still belonged to the old nobility in the 21st century (Bengtsson et al., p. 17\).",should european monarchies be abolished
1344       1                                                                                                                                                                                                                                                                                                 1 of,1 of,Turkey is not ready to join the EU. It has completed only 1 of 35 chapters on harmonisation.,should turkey be part of the european union
